round,method,feasible,candidate_count,weighted_tardiness,makespan_s,energy_kwh,sorties,all_stages_proven_optimal
1,单点贪心基线,True,500,142334.05845839853,8726.51242711724,88.46068829000572,37,False
1,多点贪心基线,True,500,111388.05505543636,9364.747587086744,96.91029654377574,39,False
1,HiGHS联合MILP＋资源冲突增量约束,True,500,111388.05505543636,9364.747587086744,96.91029654377574,39,False
2,单点贪心基线,True,850,142334.05845839853,8726.51242711724,88.46068829000572,37,False
2,多点贪心基线,True,850,96004.22290251666,8852.934858606857,90.12749786671135,37,False
2,HiGHS联合MILP＋资源冲突增量约束,True,850,96004.22290251666,8852.934858606857,90.12749786671135,37,False
