trip_id,time_s,phase,lon_deg,lat_deg,altitude_m,payload_kg
T001,0.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,10.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,20.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,30.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,40.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,50.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,60.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,70.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,80.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,90.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,100.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,110.00000000000001,准备装载,109.2308517,23.0085095,127.7,14.0
T001,120.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,130.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,140.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,150.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,160.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,170.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,180.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,190.00000000000003,准备装载,109.2308517,23.0085095,127.7,14.0
T001,200.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,210.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,220.00000000000003,准备装载,109.2308517,23.0085095,127.7,14.0
T001,230.00000000000003,准备装载,109.2308517,23.0085095,127.7,14.0
T001,240.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,250.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,260.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,270.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,280.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,290.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,300.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,310.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,320.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,330.0,准备装载,109.2308517,23.0085095,127.7,14.0
T001,330.0,爬升,109.2308517,23.0085095,127.7,14.0
T001,339.93324330647783,爬升,109.2308517,23.0085095,157.4997299194336,14.0
T001,349.8664866129557,爬升,109.2308517,23.0085095,187.2994598388672,14.0
T001,359.7997299194336,爬升,109.2308517,23.0085095,217.09918975830078,14.0
T001,369.73297322591145,爬升,109.2308517,23.0085095,246.8989196777344,14.0
T001,379.6662165323893,爬升,109.2308517,23.0085095,276.69864959716796,14.0
T001,389.5994598388672,爬升,109.2308517,23.0085095,306.4983795166016,14.0
T001,399.53270314534507,爬升,109.2308517,23.0085095,336.2981094360352,14.0
T001,409.4659464518229,爬升,109.2308517,23.0085095,366.09783935546875,14.0
T001,409.4659464518229,巡航,109.2308517,23.0085095,366.09783935546875,14.0
