from_node,to_node,distance_m,max_dem_m,cruise_altitude_m,climb_m,descent_m,uav_type,flight_time_s
O01,S001,3053.9788435184996,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,A,338.57308437198435
O01,S001,3053.9788435184996,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,B,287.67343698000934
O01,S001,3053.9788435184996,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,C,306.26953866457967
O01,S002,7411.310455084183,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,A,713.8089909673017
O01,S002,7411.310455084183,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,B,590.287150049232
O01,S002,7411.310455084183,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,C,611.3161924076304
O01,S003,7263.1792565565,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375,A,839.2879727143438
O01,S003,7263.1792565565,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375,B,718.2349851050687
O01,S003,7263.1792565565,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375,C,769.5056748023344
O01,S004,7714.6964491171675,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656,A,801.0467593502588
O01,S004,7714.6964491171675,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656,B,672.468485198306
O01,S004,7714.6964491171675,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656,C,707.4983462416003
O01,S005,5280.606936873044,276.410888671875,326.410888671875,198.710888671875,131.410888671875,A,558.8518964321287
O01,S005,5280.606936873044,276.410888671875,326.410888671875,198.710888671875,131.410888671875,B,470.841780817578
O01,S005,5280.606936873044,276.410888671875,326.410888671875,198.710888671875,131.410888671875,C,497.2302622628905
O01,S006,3186.208178413656,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,A,365.50243039514834
O01,S006,3186.208178413656,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,B,312.3989607549208
O01,S006,3186.208178413656,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,C,333.42193398083225
O01,S007,4534.460566816074,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,A,571.3520422704802
O01,S007,4534.460566816074,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,B,495.7776994902122
O01,S007,4534.460566816074,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,C,537.7432286650169
O01,S008,8079.033112423187,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539065,A,795.7929363705521
O01,S008,8079.033112423187,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539065,B,661.1423844968323
O01,S008,8079.033112423187,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539065,C,687.6906065427308
O01,S009,5705.144962277037,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625,A,555.8966159156646
O01,S009,5705.144962277037,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625,B,460.8108665443806
O01,S009,5705.144962277037,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625,C,478.1690186032999
O01,S010,4784.49485164363,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,A,534.9680304429587
O01,S010,4784.49485164363,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,B,455.22644958223157
O01,S010,4784.49485164363,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,C,484.1592055229868
O01,S011,2808.074232681646,245.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376,A,323.19813999560597
O01,S011,2808.074232681646,245.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376,B,276.3969027842452
O01,S011,2808.074232681646,245.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376,C,295.90052867942745
O01,S012,7390.491686977874,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686,A,764.4750368217238
O01,S012,7390.491686977874,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686,B,641.3001753720927
O01,S012,7390.491686977874,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686,C,673.6903411842671
